uf,municipio,nome_conflito,familias,area
Bahia,Nordestina,Com. Quilombola Lages das Cabras/Lipari Mineração,33,
Bahia,Nordestina,Com. Quilombola Fumaça/Lipari Mineração,42,
Bahia,Nordestina,Com. Quilombola Grotas/Lipari Mineração,7,
Bahia,Ponto Novo,Acampamento União,56,2000
Bahia,Porto Seguro/ Santa Cruz Cabrália,Ponta Grande/Aldeia Nova Coroa/Itapororoca/Sarã Mirawê/Mirapé/Txihi Kamayurá/Novos Guerreiros/T. I. Coroa Vermelha,350,3000
Bahia,Prado,T. I. Cahy- Pequi/Comexatiba/Aldeia Cahy/Mexatibá/Cumuruxatiba,75,28000
Bahia,Remanso,Comunidade Salinas Grande,45,1998
Bahia,Ribeirão do Largo,Fazenda Guarani,50,
Bahia,Santa Cruz Cabrália,Faz. Tucum/Acamp. Nova Esperança,55,
Bahia,Santa Maria da Vitória,Aguada Poço de Dentro/Com. de Salobro,40,20000
Bahia,São Francisco do Conde,Com. Quilombola Monte Recôncavo,700,
Bahia,Senhor do Bonfim,Com. Barroca do Faleiro de Cima,40,
Bahia,Senhor do Bonfim,Com. Barroca do Faleiro de Baixo,51,
Bahia,Sento Sé,Comunidade Brejo de Dentro,120,130
Bahia,Simões Filho,Com. Quilombola Rio dos Macacos,43,
Bahia,Souto Soares,Com. São Domingos/Projetos de Energia Eólica,,
Bahia,Subtotal = 111,,9746,769489
Ceará,Itapipoca,P. A. Maceió,338,
Ceará,Mauriti,Faz. Gravatá/Acamp. Vida Nova,30,1000
Ceará,,Pacatuba/ Maracanaú T. I. Pitaguary/Emp. Britaboa,1150,1735
Ceará,Quiterianópolis,Área da Mineradora Globest Participações Ltda.,150,
Ceará,Santana do Acaraú,Faz. Canafístula/Acamp. 17 de Abril,30,"1048,97"
Ceará,Subtotal = 5,,1698,3784
Espírito Santo,Conceição da Barra,Com. Quilombola do Linharinho/Aracruz,48,9542
Espírito Santo,Fundão,Assentamento Piranema,50,
Espírito Santo,Linhares,Área em Palhal/Complexo-Gás- Químico/Petrobras,100,415
Espírito Santo,Nova Venécia,Faz. Neblina/Acamp. Ondina,70,6000
